sleep_hours,screen_time_before_sleep,academic_performance
6.0,3.0,2.1
4.3,3.0,2.14
7.8,3.0,2.3
8.0,3.0,2.31
4.9,3.0,2.37
4.6,3.0,2.44
8.4,3.0,2.46
6.5,3.0,2.49
6.4,3.0,2.51
7.9,3.0,2.54
6.3,3.0,2.6
8.1,3.0,2.75
8.6,3.0,2.77
8.7,3.0,2.84
4.9,3.0,2.99
6.3,2.9,2.04
4.7,2.9,2.17
6.8,2.9,2.18
4.3,2.9,2.2
5.6,2.9,2.24
4.1,2.9,2.33
6.4,2.9,2.42
9.0,2.9,2.47
6.9,2.9,2.48
8.9,2.9,2.53
7.9,2.9,2.54
5.6,2.9,2.57
8.0,2.9,2.59
5.1,2.9,2.62
5.6,2.9,2.72
6.0,2.9,2.72
9.0,2.9,2.74
6.6,2.9,2.74
4.1,2.9,2.83
4.3,2.9,2.95
6.1,2.9,2.98
7.3,2.9,2.99
7.8,2.8,2.1
8.2,2.8,2.12
5.8,2.8,2.17
8.0,2.8,2.18
8.2,2.8,2.18
5.1,2.8,2.22
7.3,2.8,2.26
6.1,2.8,2.39
6.3,2.8,2.41
7.3,2.8,2.46
6.4,2.8,2.51
8.1,2.8,2.58
8.3,2.8,2.63
5.0,2.8,2.69
6.2,2.8,2.74
6.8,2.8,2.77
5.7,2.8,2.79
7.0,2.8,2.8
4.7,2.8,2.82
8.9,2.8,2.84
8.0,2.7,2.04
6.5,2.7,2.06
7.2,2.7,2.06
7.0,2.7,2.07
4.4,2.7,2.09
4.9,2.7,2.12
7.5,2.7,2.29
4.9,2.7,2.3
5.0,2.7,2.31
7.6,2.7,2.36
4.5,2.7,2.41
4.5,2.7,2.47
4.3,2.7,2.51
6.9,2.7,2.53
4.5,2.7,2.54
5.1,2.7,2.56
7.3,2.7,2.61
7.5,2.7,2.66
5.7,2.7,2.76
8.2,2.7,2.84
7.7,2.7,2.84
6.0,2.7,2.85
6.1,2.7,2.86
5.4,2.7,2.88
6.3,2.7,2.88
7.0,2.7,2.89
7.4,2.7,2.92
6.5,2.7,2.97
7.2,2.6,2.02
5.2,2.6,2.04
5.1,2.6,2.06
5.4,2.6,2.07
4.8,2.6,2.08
4.2,2.6,2.2
7.4,2.6,2.25
4.2,2.6,2.28
6.7,2.6,2.35
4.9,2.6,2.43
8.9,2.6,2.54
8.4,2.6,2.57
5.0,2.6,2.71
4.8,2.6,2.74
6.5,2.6,2.75
6.8,2.6,2.85
4.9,2.6,2.89
5.9,2.6,2.89
7.4,2.6,2.92
5.3,2.6,2.95
4.6,2.5,2.04
8.8,2.5,2.12
6.8,2.5,2.13
5.1,2.5,2.13
7.2,2.5,2.15
8.9,2.5,2.29
8.7,2.5,2.29
5.3,2.5,2.29
5.8,2.5,2.34
7.6,2.5,2.37
4.6,2.5,2.4
6.9,2.5,2.45
5.0,2.5,2.55
7.7,2.5,2.56
5.2,2.5,2.57
5.1,2.5,2.62
4.6,2.5,2.62
6.4,2.5,2.64
5.0,2.5,2.65
4.2,2.5,2.65
5.7,2.5,2.67
7.1,2.5,2.68
8.1,2.5,2.7
5.6,2.5,2.73
4.7,2.5,2.73
6.1,2.5,2.8
6.7,2.5,2.98
5.3,2.4,2.03
6.4,2.4,2.16
5.1,2.4,2.17
7.2,2.4,2.18
6.7,2.4,2.2
7.6,2.4,2.24
8.9,2.4,2.29
4.7,2.4,2.3
4.0,2.4,2.35
7.4,2.4,2.38
